"outcome","patient_char","bin","mkt","mean","sd","l_95","u_95"
"ch_peri","obgyn_10kwra","75",8,0.174452382832027,0.0041572276482089,0.166304216641537,0.182600549022516
"ch_peri","obgyn_10kwra","75",10,0.0853180034910858,0.00418004299493555,0.0771251192210121,0.0935108877611594
"ch_peri","obgyn_10kwra","75",11,-0.0184679310190296,0.00329237131914719,-0.0249209788045581,-0.0120148832335011
"ch_peri","obgyn_10kwra","90",2,0.327451007078805,0.00876079552341216,0.310279847852917,0.344622166304692
"ch_peri","obgyn_10kwra","90",4,0.17968866372455,0.00510535505242705,0.169682167821793,0.189695159627307
"ch_peri","obgyn_10kwra","90",5,0.0367569986363504,0.0105288396462575,0.0161204729296856,0.0573935243430151
"ch_peri","obgyn_10kwra","90",7,0.0573632691897419,0.00812951508449917,0.0414294196241235,0.0732971187553602
"ch_peri","obgyn_10kwra","90",8,0.18704024532327,0.004666029207094,0.177894828077366,0.196185662569175
"ch_peri","obgyn_10kwra","90",10,0.040290501162022,0.00347666643248483,0.0334762349543518,0.0471047673696923
"ch_peri","obgyn_10kwra","90",11,-0.0192108121218914,0.00383124978225616,-0.0267200616951135,-0.0117015625486693
"ch_peri","obgyn_10kwra","100",2,0.330515514902163,0.00819850533069577,0.314446444453999,0.346584585350327
"ch_peri","obgyn_10kwra","100",4,0.139263484044296,0.0182328618015989,0.103527074913162,0.17499989317543
"ch_peri","obgyn_10kwra","100",5,0.0383149470734843,0.0119830703514985,0.0148281291845473,0.0618017649624212
"ch_peri","obgyn_10kwra","100",7,0.0145495258347404,0.00346408755232332,0.0077599142321867,0.0213391374372941
"ch_peri","obgyn_10kwra","100",8,0.216817312264146,0.00698490595212625,0.203126896597979,0.230507727930314
"ch_peri","obgyn_10kwra","100",10,0.0714503460880354,0.00372856954198431,0.0641423497857462,0.0787583423903247
"ch_peri","obgyn_10kwra","100",11,-0.0250000672323533,0.00435372472707428,-0.0335333676974188,-0.0164667667672877
"ch_teach","ci_scorent","10",2,0.182127539660299,0.00414319636275976,0.17400687478929,0.190248204531308
"ch_teach","ci_scorent","10",3,-0.0493416519930849,0.00428639800352345,-0.0577429920799908,-0.0409403119061789
"ch_teach","ci_scorent","10",5,-0.0508469762830052,0.00469853788886383,-0.0600561105451783,-0.0416378420208321
"ch_teach","ci_scorent","10",7,0.0829276004504586,0.00818923448402376,0.0668767008617721,0.0989785000391452
"ch_teach","ci_scorent","10",8,0.248325232028538,0.0029555908600147,0.242532273942909,0.254118190114167
